typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3648.23","false","15","g","3648230","false","3648.23","false","0","false","1538847","0","1538847","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1352779","false","8","kg","1352779","false","1352779","false","0","false","465344194","0","465344194","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","626994","false","8","kg","626994","false","626994","false","0","false","95560718","0","95560718","0","true","false",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","85259","false","8","kg","85259","false","85259","false","0","false","16022290","0","16022290","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1677012","false","8","kg","1677012","false","1677012","false","0","false","75221572","0","75221572","0","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","498653","false","8","kg","498653","false","498653","false","0","false","31002999","0","31002999","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29497","false","8","kg","29497","false","29497","false","0","false","1935834","0","1935834","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","15","g","3113208628","false","0","true","0","false","44088106","0","44088106","6","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3103948","false","15","g","3103948000","false","3103948","false","0","false","35535172","0","35535172","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.571","false","15","g","571","false","0.571","false","0","false","83673","0","83673","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24089.057","true","15","g","24005561","false","24089.057","true","0","false","13300482","0","13300482","6","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9008.157","false","15","g","9008157","false","9008.157","false","0","false","7233504","0","7233504","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2422.262","true","15","g","2404207","false","2422.262","true","0","false","1944333","0","1944333","6","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1519234","false","8","kg","1519234","false","1519234","false","0","false","541772393","0","541772393","0","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","783002","false","8","kg","783002","false","783002","false","0","false","101432444","0","101432444","0","true","false",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","134027","false","8","kg","134027","false","134027","false","0","false","23100615","0","23100615","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1879903","false","8","kg","1879903","false","1879903","false","0","false","120900605","119228273","120900605","0","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","375111","false","8","kg","375111","false","375111","false","0","false","64065711","63879574","64065711","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","699","IND","India","0","W00","World","H6","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28713","false","8","kg","28713","false","28713","false","0","false","1687547","1663505","1687547","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1039397.156","true","15","g","1038545628","false","1039397.156","true","0","false","43174143","42082721","43174143","6","false","true",
